#{"t_start": 1755726833.5875497, "env_id": "None"}
r,l,t
39847.354661,5000,12529.455434
39847.354661,5000,12534.661567
39847.354661,5000,12540.226706
39847.354661,5000,12545.344381
39847.354661,5000,12551.914217
64221.58456,5000,12585.035492
64221.58456,5000,12590.58003
64221.58456,5000,12596.158668
64221.58456,5000,12601.498576
64221.58456,5000,12606.962772
16723.678138,5000,12639.526241
16723.678138,5000,12644.507931
16723.678138,5000,12649.569158
16723.678138,5000,12654.53008
16723.678138,5000,12659.619634
15948.118885,5000,12692.566921
15948.118885,5000,12697.46274
15948.118885,5000,12702.412979
15948.118885,5000,12707.377653
15948.118885,5000,12712.308414
10634.900446,5000,12747.843535
10634.900446,5000,12752.727215
10634.900446,5000,12758.425753
10634.900446,5000,12763.699193
10634.900446,5000,12769.082326
6.061597,5000,12801.663926
6.061597,5000,12806.513502
6.061597,5000,12811.423805
6.061597,5000,12816.329846
6.061597,5000,12821.270427
